Category: Food & Drink

Week,Fish tikka: (Delhi)
2018-01-07,0
2018-01-14,0
2018-01-21,18
2018-01-28,65
2018-02-04,0
2018-02-11,0
2018-02-18,0
2018-02-25,69
2018-03-04,0
2018-03-11,0
2018-03-18,0
2018-03-25,0
2018-04-01,0
2018-04-08,0
2018-04-15,0
2018-04-22,0
2018-04-29,42
2018-05-06,0
2018-05-13,33
2018-05-20,22
2018-05-27,0
2018-06-03,0
2018-06-10,0
2018-06-17,32
2018-06-24,0
2018-07-01,0
2018-07-08,0
2018-07-15,0
2018-07-22,0
2018-07-29,0
2018-08-05,43
2018-08-12,0
2018-08-19,78
2018-08-26,0
2018-09-02,0
2018-09-09,32
2018-09-16,34
2018-09-23,0
2018-09-30,0
2018-10-07,0
2018-10-14,0
2018-10-21,41
2018-10-28,0
2018-11-04,26
2018-11-11,0
2018-11-18,0
2018-11-25,50
2018-12-02,0
2018-12-09,28
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,75
2019-01-13,20
2019-01-20,0
2019-01-27,33
2019-02-03,0
2019-02-10,61
2019-02-17,0
2019-02-24,0
2019-03-03,79
2019-03-10,0
2019-03-17,0
2019-03-24,0
2019-03-31,29
2019-04-07,36
2019-04-14,0
2019-04-21,0
2019-04-28,0
2019-05-05,0
2019-05-12,0
2019-05-19,23
2019-05-26,0
2019-06-02,29
2019-06-09,0
2019-06-16,0
2019-06-23,54
2019-06-30,0
2019-07-07,21
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,38
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,56
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,83
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,23
2020-01-12,81
2020-01-19,78
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,40
2020-02-23,31
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,33
2020-06-21,54
2020-06-28,0
2020-07-05,0
2020-07-12,44
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,84
2020-08-23,0
2020-08-30,0
2020-09-06,23
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,44
2020-10-11,0
2020-10-18,0
2020-10-25,67
2020-11-01,22
2020-11-08,0
2020-11-15,64
2020-11-22,0
2020-11-29,0
2020-12-06,35
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,64
2021-01-10,83
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,59
2021-03-21,0
2021-03-28,0
2021-04-04,35
2021-04-11,0
2021-04-18,36
2021-04-25,49
2021-05-02,41
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,48
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,32
2021-08-01,31
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,60
2021-11-07,0
2021-11-14,0
2021-11-21,47
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,32
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,27
2022-03-06,0
2022-03-13,0
2022-03-20,36
2022-03-27,30
2022-04-03,0
2022-04-10,52
2022-04-17,36
2022-04-24,20
2022-05-01,30
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,26
2022-07-24,19
2022-07-31,16
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,30
2022-09-04,0
2022-09-11,0
2022-09-18,22
2022-09-25,0
2022-10-02,32
2022-10-09,0
2022-10-16,18
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,100
2022-11-27,51
2022-12-04,53
2022-12-11,0
2022-12-18,0
2022-12-25,0
