Category: Food & Drink

Week,Mysore pak: (Delhi)
2018-01-07,0
2018-01-14,24
2018-01-21,0
2018-01-28,55
2018-02-04,45
2018-02-11,0
2018-02-18,0
2018-02-25,24
2018-03-04,0
2018-03-11,0
2018-03-18,0
2018-03-25,0
2018-04-01,30
2018-04-08,0
2018-04-15,0
2018-04-22,0
2018-04-29,0
2018-05-06,0
2018-05-13,0
2018-05-20,0
2018-05-27,0
2018-06-03,0
2018-06-10,0
2018-06-17,0
2018-06-24,0
2018-07-01,23
2018-07-08,0
2018-07-15,0
2018-07-22,0
2018-07-29,0
2018-08-05,0
2018-08-12,0
2018-08-19,0
2018-08-26,0
2018-09-02,26
2018-09-09,23
2018-09-16,0
2018-09-23,0
2018-09-30,0
2018-10-07,0
2018-10-14,0
2018-10-21,0
2018-10-28,0
2018-11-04,34
2018-11-11,28
2018-11-18,0
2018-11-25,0
2018-12-02,0
2018-12-09,0
2018-12-16,0
2018-12-23,42
2018-12-30,0
2019-01-06,0
2019-01-13,28
2019-01-20,0
2019-01-27,0
2019-02-03,66
2019-02-10,0
2019-02-17,0
2019-02-24,0
2019-03-03,20
2019-03-10,0
2019-03-17,0
2019-03-24,0
2019-03-31,61
2019-04-07,0
2019-04-14,0
2019-04-21,0
2019-04-28,0
2019-05-05,0
2019-05-12,0
2019-05-19,0
2019-05-26,26
2019-06-02,0
2019-06-09,29
2019-06-16,23
2019-06-23,0
2019-06-30,0
2019-07-07,55
2019-07-14,44
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,47
2019-08-18,0
2019-08-25,0
2019-09-01,23
2019-09-08,21
2019-09-15,74
2019-09-22,0
2019-09-29,0
2019-10-06,29
2019-10-13,0
2019-10-20,53
2019-10-27,0
2019-11-03,21
2019-11-10,21
2019-11-17,0
2019-11-24,0
2019-12-01,20
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,36
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,64
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,100
2020-03-08,22
2020-03-15,0
2020-03-22,0
2020-03-29,56
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,55
2020-06-28,47
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,78
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,61
2020-11-08,38
2020-11-15,0
2020-11-22,74
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,37
2021-02-14,0
2021-02-21,47
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,49
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,49
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,42
2021-07-04,24
2021-07-11,0
2021-07-18,22
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,22
2021-08-22,40
2021-08-29,0
2021-09-05,0
2021-09-12,37
2021-09-19,35
2021-09-26,0
2021-10-03,0
2021-10-10,77
2021-10-17,0
2021-10-24,57
2021-10-31,77
2021-11-07,74
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,21
2022-02-06,0
2022-02-13,35
2022-02-20,22
2022-02-27,44
2022-03-06,0
2022-03-13,21
2022-03-20,45
2022-03-27,0
2022-04-03,0
2022-04-10,57
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,18
2022-05-15,0
2022-05-22,42
2022-05-29,38
2022-06-05,56
2022-06-12,20
2022-06-19,33
2022-06-26,38
2022-07-03,0
2022-07-10,65
2022-07-17,18
2022-07-24,0
2022-07-31,61
2022-08-07,0
2022-08-14,33
2022-08-21,59
2022-08-28,0
2022-09-04,32
2022-09-11,43
2022-09-18,17
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,62
2022-10-23,49
2022-10-30,23
2022-11-06,33
2022-11-13,17
2022-11-20,37
2022-11-27,43
2022-12-04,0
2022-12-11,0
2022-12-18,41
2022-12-25,0
